"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
4231086927,0.37956,0.35237,0.56504,0.56999,0.52756,0.48634,0.36902,0.39566,0.57098,0.42216,0.43185,0.45107,0.41203,0.42549,0.37545,0.4035,0.4086,0.3996
3860581481,0.39263,0.38358,0.5541,0.55862,0.57357,0.58692,0.37655,0.3791,0.58979,0.43582,0.46663,0.4668,0.46988,0.51503,0.38728,0.39379,0.43288,0.46908
959456866,0.40635,0.36729,0.56126,0.56898,0.61126,0.61247,0.4125,0.41505,0.57377,0.46798,0.45135,0.42122,0.40481,0.45213,0.3835,0.40539,0.3727,0.41119
354512339,0.35576,0.34537,0.52818,0.5251,0.48917,0.54485,0.36626,0.35432,0.53967,0.42593,0.42976,0.44472,0.43565,0.49235,0.35825,0.377,0.39399,0.41025
3938050789,0.39593,0.36639,0.54321,0.5576,0.58002,0.55024,0.38891,0.3992,0.60591,0.44246,0.44897,0.44981,0.43707,0.49109,0.3622,0.39575,0.39983,0.44341
1137322737,0.36229,0.35742,0.5156,0.53275,0.43802,0.44463,0.38458,0.36366,0.60406,0.40071,0.42406,0.41761,0.4214,0.43781,0.32811,0.33246,0.36987,0.40012
1573185083,0.37292,0.35804,0.54368,0.54367,0.53755,0.49776,0.37571,0.35388,0.54268,0.42663,0.43689,0.44318,0.4357,0.45311,0.3476,0.36423,0.42477,0.40577
1534450579,0.41132,0.38773,0.60174,0.59086,0.6024,0.61502,0.43021,0.39885,0.54854,0.45639,0.46922,0.47516,0.47894,0.52222,0.41632,0.44452,0.46381,0.46809
2730766942,0.38423,0.3672,0.52045,0.5278,0.55837,0.54241,0.4056,0.33616,0.56939,0.41968,0.41839,0.43169,0.42034,0.44984,0.34559,0.37986,0.42016,0.45185
1082549547,0.36078,0.35622,0.54195,0.54682,0.4732,0.43439,0.399,0.37425,0.60177,0.41153,0.42507,0.41269,0.42489,0.47639,0.3719,0.33668,0.39115,0.41808
